item_id,source_dataset,source_split,scenario_text,label,label_semantics,primary_trait,secondary_traits,annotation_confidence,annotation_notes,keep_for_mvp,pair_id
synthetic_compassion_005_upheld,SYNTHETIC,synthetic,I picked up the crying toddler who'd fallen on the playground and checked if she was hurt.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: toddler fell,True,compassion_005
synthetic_compassion_005_violated,SYNTHETIC,synthetic,I laughed at the toddler who'd fallen on the playground instead of checking on her.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: toddler fell,True,compassion_005
synthetic_compassion_006_upheld,SYNTHETIC,synthetic,I checked in on my elderly neighbor after I hadn't seen her for a few days.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: elderly neighbor,True,compassion_006
synthetic_compassion_006_violated,SYNTHETIC,synthetic,I noticed I hadn't seen my elderly neighbor in days and didn't bother checking on her.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: elderly neighbor,True,compassion_006
synthetic_compassion_007_upheld,SYNTHETIC,synthetic,I asked my coworker what was wrong when I noticed he seemed upset all day.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: coworker's bad day,True,compassion_007
synthetic_compassion_007_violated,SYNTHETIC,synthetic,I rolled my eyes at my coworker instead of asking why he seemed upset all day.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: coworker's bad day,True,compassion_007
synthetic_compassion_008_upheld,SYNTHETIC,synthetic,I invited the new student who was sitting alone to join our table at lunch.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: new student,True,compassion_008
synthetic_compassion_008_violated,SYNTHETIC,synthetic,I let the new student sit alone at lunch without inviting them over.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: new student,True,compassion_008
synthetic_compassion_009_upheld,SYNTHETIC,synthetic,I let my friend vent about her breakup for as long as she needed.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: friend's breakup,True,compassion_009
synthetic_compassion_009_violated,SYNTHETIC,synthetic,I cut my friend off mid-sentence when she tried to talk about her breakup.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: friend's breakup,True,compassion_009
synthetic_compassion_010_upheld,SYNTHETIC,synthetic,I pulled over to help the injured bird I saw on the side of the road.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: injured bird,True,compassion_010
synthetic_compassion_010_violated,SYNTHETIC,synthetic,I drove past the injured bird on the side of the road without stopping.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: injured bird,True,compassion_010
synthetic_compassion_011_upheld,SYNTHETIC,synthetic,I visited my uncle in the hospital even though the drive was long.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: hospital visit,True,compassion_011
synthetic_compassion_011_violated,SYNTHETIC,synthetic,I skipped visiting my uncle in the hospital because the drive was inconvenient.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: hospital visit,True,compassion_011
synthetic_compassion_012_upheld,SYNTHETIC,synthetic,I offered to help my laid-off coworker update his resume.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: coworker layoff,True,compassion_012
synthetic_compassion_012_violated,SYNTHETIC,synthetic,I avoided my laid-off coworker instead of reaching out to see how he was doing.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: coworker layoff,True,compassion_012
synthetic_compassion_013_upheld,SYNTHETIC,synthetic,I offered the exhausted parent on the plane a hand with the crying baby.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: crying baby on plane,True,compassion_013
synthetic_compassion_013_violated,SYNTHETIC,synthetic,I glared at the exhausted parent on the plane instead of offering to help.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: crying baby on plane,True,compassion_013
synthetic_compassion_014_upheld,SYNTHETIC,synthetic,I quietly covered my friend's coffee when I noticed she was counting her coins.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: friend's finances,True,compassion_014
synthetic_compassion_014_violated,SYNTHETIC,synthetic,I let my friend count out her last coins for coffee without offering to help.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: friend's finances,True,compassion_014
synthetic_compassion_015_upheld,SYNTHETIC,synthetic,I told the classmate being teased that I thought his project was actually really good.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: classmate mocked,True,compassion_015
synthetic_compassion_015_violated,SYNTHETIC,synthetic,"I said nothing while classmates mocked his project, even though I felt bad for him.",1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: classmate mocked,True,compassion_015
synthetic_compassion_016_upheld,SYNTHETIC,synthetic,I stayed with the lost child in the store until we found her parents.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: lost child,True,compassion_016
synthetic_compassion_016_violated,SYNTHETIC,synthetic,I noticed the lost child crying in the store and kept walking to finish my shopping.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: lost child,True,compassion_016
synthetic_compassion_017_upheld,SYNTHETIC,synthetic,I called my friend every day after she told me about her diagnosis.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: friend's diagnosis,True,compassion_017
synthetic_compassion_017_violated,SYNTHETIC,synthetic,I stopped calling my friend after she told me about her diagnosis because it felt heavy.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: friend's diagnosis,True,compassion_017
synthetic_compassion_018_upheld,SYNTHETIC,synthetic,I offered to tutor the classmate who was falling behind in the course.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: struggling student,True,compassion_018
synthetic_compassion_018_violated,SYNTHETIC,synthetic,I made fun of the classmate who was falling behind in the course.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: struggling student,True,compassion_018
synthetic_compassion_019_upheld,SYNTHETIC,synthetic,I helped the new family down the street carry their groceries up the stairs.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: new family,True,compassion_019
synthetic_compassion_019_violated,SYNTHETIC,synthetic,I watched the new family struggle carrying groceries up the stairs and didn't offer to help.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: new family,True,compassion_019
synthetic_compassion_020_upheld,SYNTHETIC,synthetic,I stayed with my coworker and helped her breathe through her panic attack.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: panic attack,True,compassion_020
synthetic_compassion_020_violated,SYNTHETIC,synthetic,I left the room when my coworker started having a panic attack.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: panic attack,True,compassion_020
